Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
1,Nic Dowd,2016,2018,C,131,9,17,26,-24,55,,,,,,,Huntsville,1990-05-27,
2,Jared Ross,2009,2010,C,13,0,0,0,-5,2,,,,,,,Huntsville,1982-09-18,
3,Aud Tuten,1942,1943,D,39,4,8,12,,48,,,,,,,Enterprise,1914-01-14,1994-05-07
